Home,Away,Attendance,Date,Referee,Season
Dundalk FC,Sligo Rovers                                                                     ,,"Oct 21, 2022",Damien McGraith,2022
Dundalk FC,Bohemians                                                                     ,,"Oct 28, 2022", Adriano,2022
Sligo Rovers,St. Pat's                                                                     ,,"Oct 28, 2022",John McLoughlin,2022
Shelbourne,Drogheda United                                                                     ,,"Oct 28, 2022",Mark Moynihan,2022
Finn Harps,UCD                                                                     ,,"Oct 28, 2022",Neil Doyle,2022
Shamrock Rovers,Derry City                                                                     ,,"Oct 30, 2022", Robert,2022
Bohemians,Sligo Rovers                                                                     ,,"Nov 6, 2022",Damien McGraith,2022
UCD,Shamrock Rovers                                                                     ,,"Nov 6, 2022",Derek Tomney,2022
Derry City,Dundalk FC                                                                     ,,"Nov 6, 2022",Robert Hennessy,2022
Drogheda United,Finn Harps                                                                     ,,"Nov 6, 2022",David Dunne,2022
St. Pat's,Shelbourne                                                                     ,,"Nov 6, 2022",Paul McLaughlin,2022
